parameter,parameter_value,factor_from_fitted_value,profiled_rate_scale_nm_s,objective,fitting_error,fitting_error_name,loss
conversion_ratio,29.961427410043637,316.22776601683796,0.13125021948814677,0.002230329642714193,0.04722636596980751,training_rmse_nm_s,mse
conversion_ratio,37.71920234013028,398.1071705534977,0.12919912859423982,0.0022828701060822543,0.0477793899718514,training_rmse_nm_s,mse
conversion_ratio,47.48566233859599,501.18723362727246,0.12756179326853398,0.0023259157871172325,0.04822774914006699,training_rmse_nm_s,mse
conversion_ratio,59.78090701393581,630.9573444801943,0.1262559622459862,0.002360968178057937,0.04858979499913472,training_rmse_nm_s,mse
conversion_ratio,75.25970297994789,794.3282347242822,0.12521531831746946,0.0023893710280219185,0.0488811929889392,training_rmse_nm_s,mse
conversion_ratio,94.74635256553753,1000.0,0.12438653150934931,0.0024122943039658323,0.04911511278584049,training_rmse_nm_s,mse
inhibition_ratio,5.139696800771512e-07,0.001,2.526440573644778,7.845113742077931e-07,0.0008857264669229395,training_rmse_nm_s,mse
inhibition_ratio,6.470494911408435e-07,0.0012589254117941662,2.52644077577149,7.845113683797674e-07,0.0008857264636329703,training_rmse_nm_s,mse
inhibition_ratio,8.145870470856938e-07,0.001584893192461114,2.526441030233945,7.845113610432727e-07,0.0008857264594914576,training_rmse_nm_s,mse
inhibition_ratio,1.0255043336945508e-06,0.001995262314968879,2.5264413505831946,7.84511351808057e-07,0.000885726454278101,training_rmse_nm_s,mse
inhibition_ratio,1.2910334655931172e-06,0.002511886431509582,2.526441753879005,7.845113401830228e-07,0.0008857264477156718,training_rmse_nm_s,mse
inhibition_ratio,1.6253148373118645e-06,0.0031622776601683794,2.52644226159835,7.845113255501868e-07,0.0008857264394553134,training_rmse_nm_s,mse
inhibition_ratio,2.0461501508580073e-06,0.003981071705534969,2.526442900779132,7.845113071320682e-07,0.0008857264290581309,training_rmse_nm_s,mse
inhibition_ratio,2.575950421261617e-06,0.005011872336272725,2.5264437054600606,7.845112839506158e-07,0.0008857264159720064,training_rmse_nm_s,mse
inhibition_ratio,3.2429294448481375e-06,0.00630957344480193,2.526444718493327,7.845112547757532e-07,0.0008857263995025514,training_rmse_nm_s,mse
inhibition_ratio,4.0826062867748766e-06,0.00794328234724282,2.5264459938266457,7.84511218060811e-07,0.0008857263787766576,training_rmse_nm_s,mse
inhibition_ratio,5.139696800771513e-06,0.01,2.526447599376161,7.845111718616797e-07,0.0008857263526968585,training_rmse_nm_s,mse
inhibition_ratio,6.470494911408435e-06,0.012589254117941661,2.526449620643236,7.845111137356903e-07,0.0008857263198842464,training_rmse_nm_s,mse
inhibition_ratio,8.145870470856937e-06,0.01584893192461114,2.526452165267702,7.845110406152735e-07,0.0008857262786071515,training_rmse_nm_s,mse
inhibition_ratio,1.0255043336945509e-05,0.01995262314968879,2.52645536876008,7.845109486506732e-07,0.0008857262266923528,training_rmse_nm_s,mse
inhibition_ratio,1.2910334655931171e-05,0.025118864315095822,2.5264594017179967,7.84510833014468e-07,0.0008857261614147276,training_rmse_nm_s,mse
inhibition_ratio,1.6253148373118643e-05,0.03162277660168379,2.526464478911133,7.845106876595483e-07,0.0008857260793606273,training_rmse_nm_s,mse
inhibition_ratio,2.0461501508580072e-05,0.03981071705534969,2.5264708707184846,7.845105050211083e-07,0.000885725976259649,training_rmse_nm_s,mse
inhibition_ratio,2.5759504212616173e-05,0.05011872336272725,2.526478917527014,7.845102756516621e-07,0.0008857258467785966,training_rmse_nm_s,mse
inhibition_ratio,3.2429294448481375e-05,0.0630957344480193,2.526489047858482,7.845099877781939e-07,0.000885725684271487,training_rmse_nm_s,mse
inhibition_ratio,4.0826062867748766e-05,0.07943282347242822,2.5265018011897604,7.845096267704159e-07,0.0008857254804793728,training_rmse_nm_s,mse
inhibition_ratio,5.139696800771513e-05,0.1,2.5265178566819047,7.845091745128125e-07,0.0008857252251758513,training_rmse_nm_s,mse
