equation_family,model_id,role_A,role_I,role_B,optimizer,loss,trial,objective,best_objective,best_error,best_error_name
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,58,8.924412324491046e-06,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,59,2.46876298949406e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,60,2.4695687680978978e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,61,0.0003772817725747321,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,62,0.00037731099317716145,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,63,0.0005775096861324616,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,64,0.000978171889531002,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,65,0.0009782884661040231,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,66,0.002503161921820617,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,67,0.002503173406781552,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,68,0.0025936792448422777,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,69,0.0027703924559530097,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,70,0.002770438860809201,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,71,0.0025039018939008936,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,72,0.0025039133414373428,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,73,0.0025942376175137824,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,74,0.0027707694621063378,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,75,0.0027708158290472803,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,76,2.310352959155421e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,77,2.3098861910571416e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,78,9.400394333791245e-06,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,79,2.4701176017612164e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,80,2.470842941930993e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,81,2.3103524149032166e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
aib_qss,"cvd:aib_qss:AIB:full:bulk_as_surface:A=idn_2,I=n2,B=adn_2",idn_2,n2,adn_2,pattern,mse,82,2.3098856468278305e-05,7.98451061955517e-06,0.0028256876365860347,training_rmse_nm_s
